Timestamp,class_time,age,born_syr,parent_born_syr,born_nys,parent_born_nys,chocolate,adirondacks,nys_fair,fav_music_25,fav_music_24,fav_soc_med,fav2_soc_med,fav_vid_game,fav_marvel,fav_star_wars,three_words
5/23/2025 9:01,8:52 AM,12 years and 0 months,No,No,No,No,Milk Chocolate,1 or 2 times,3-5 times,none,none,YouTube,TikTok,Asphalt Legends Unite,Spider-Man,none,"hail na, ain no way"
5/23/2025 9:01,8:52 AM,12 years and 5 months,Yes,No,Yes,Yes,Milk Chocolate,Never,More than 10 times,Jojo Siwa,Jojo Siwa,Instagram,TikTok,Dress to Impress,Miles Morales,Darth Vader,"rizz, sigma, preppy"
5/23/2025 9:01,8:52 AM,12 years and 0 months,No,No,No,Yes,Milk Chocolate,More than 10 times,5-10 times,Koe Wetzel,Koe Wetzel,YouTube,Discord,Fortnite,Spooder-Man,R2-D2,"rizz, sigma, slay"
5/23/2025 9:02,8:52 AM,11 years and 10 months,No,No,Yes,No,Milk Chocolate,Never,3-5 times,Melanie Martinez,Melanie Martinez,YouTube,none,none,none,none,English
5/23/2025 9:02,8:52 AM,12 years and 2 months,Yes,No,Yes,No,"Dark Chocolate, Milk Chocolate, White Chocolate",3-5 times,1 or 2 times,Tate McRae,Taylor Swift,YouTube,Snapchat,Dress to Impress,none,Rey Skywalker,"slay, fire, preppy"
5/23/2025 9:02,8:52 AM,12 years and 7 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,5-10 times,Morgan Wallen,Morgan Wallen,TikTok,Snapchat,none,none,none,"sigma, preppy"
5/23/2025 9:02,8:52 AM,12 years and 7 months,Yes,Yes,Yes,Yes,Milk Chocolate,5-10 times,5-10 times,Black Eyed Peas,M.O.P.,YouTube,BASEBALL 9,NBA 2K25,none,none,"baseball, sports, video games"
5/23/2025 9:02,8:52 AM,12 years and 5 months,Yes,No,Yes,Yes,White Chocolate,1 or 2 times,3-5 times,Central Cee,Central Cee,YouTube,Scratch,none,Moon Knight,C-3PO,"bet, cook, mid"
5/23/2025 9:03,8:52 AM,12 years and 6 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,1 or 2 times,SZA,SZA,CapCut,YouTube,Clash Royale,none,Darth Vader,yo
5/23/2025 9:03,8:52 AM,11 years and 10 months,No,Yes,No,Yes,"Dark Chocolate, Milk Chocolate, White Chocolate",Never,Never,Playboi Carti,Kendrick Lamar,YouTube,Scratch,FC 25,Thor,Luke,"cooked, mid"
5/23/2025 9:03,8:52 AM,11 years and 11 months,Yes,No,Yes,Yes,Dark Chocolate,Never,More than 10 times,39 pilot,Eminem,YouTube,none,Minecraft,none,Luke,what's up
5/23/2025 9:04,8:52 AM,12 years and 1 month,Yes,No,Yes,No,Milk Chocolate,Never,1 or 2 times,Juice WRLD,Juice WRLD,YouTube,Snapchat,Fortnite,Spider-Man,Jar Jar Binks,"rizz, aura, bro"
5/23/2025 9:04,8:52 AM,12 years and 6 months,Yes,Yes,Yes,Yes,White Chocolate,5-10 times,5-10 times,Eminem,Eminem,Instagram,YouTube,NBA 2K25,Captain America,Babu Frik,"bro, sup, rizz"
5/23/2025 9:04,8:52 AM,12 years and 7 months,Yes,Yes,Yes,Yes,"Dark Chocolate, Milk Chocolate, White Chocolate",Never,3-5 times,none,none,YouTube,YouTube,Forza Horizon,Captain America,R2-D2,"rizz, mutted, chat"
5/23/2025 9:04,8:52 AM,11 years and 11 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,1 or 2 times,Jojo Siwa,Olivia Rodrigo,Snapchat,TikTok,Fortnite,Hulk,C-3PO,"heyyyyy bestieeeeeeeee, whatever nickname I have for them"
5/23/2025 9:04,8:52 AM,11 years and 5 months,Yes,No,Yes,No,Milk Chocolate,Never,5-10 times,justan oval,Cyriak Harris,YouTube,Twitch,Home Safety Hotline,none,none,"bru, ok, bro"
5/23/2025 9:04,8:52 AM,11 years and 10 months,Yes,Yes,Yes,Yes,Dark Chocolate,More than 10 times,3-5 times,Guns N' Roses,none,YouTube,none,Hollow Knight,Spider-Man,Ashoka,I don't know
5/23/2025 9:05,8:52 AM,11 years and 7 months,No,No,No,No,Milk Chocolate,Never,3-5 times,Laufey,Eminem,TikTok,YouTube,Roblox,none,none,"bro, sigma, oh"
5/23/2025 9:05,8:52 AM,11 years and 8 months,Yes,No,Yes,No,Dark Chocolate,Never,3-5 times,Megan Thee Stallion,Nicki Minaj,TikTok,Snapchat,Marvel Rivals,Lady Death,none,rizzler
5/23/2025 9:06,8:52 AM,11 years and 7 months,Yes,Yes,Yes,Yes,"Dark Chocolate, Milk Chocolate",3-5 times,More than 10 times,Snoop Dogg,Snoop Dogg,YouTube,Instagram,Roblox,none,Chewbacca,"skibidi, sigma, goofy"
5/23/2025 9:07,8:52 AM,11 years and 11 months,No,No,No,No,"Dark Chocolate, Milk Chocolate",Never,Never,Ashaka,Ashaka,YouTube,Snapchat,Roblox,Cat Woman,none,"bro, aw man, idk"
5/23/2025 9:07,8:52 AM,11 years and 8 months,Yes,No,Yes,No,Dark Chocolate,Never,More than 10 times,"SZA, GloRilla, Kevin Gates","SZA, GloRilla, Kevin Gates",Snapchat,Snapchat,"Roblox, Fortnite, Grow a Garden, Fall Guys, Mortal Kombat 1",Black Panther,"Yoda, Obiwan, Darth Vader",
5/23/2025 9:59,9:52 AM,11 years and 11 months,Yes,No,Yes,No,"Milk Chocolate, White Chocolate",3-5 times,5-10 times,Taylor Swift,Taylor Swift,TikTok,Instagram,none,Scarlet Witch,Padme,"like, omg, whatever"
5/23/2025 10:03,9:52 AM,11 years and 11 months,Yes,No,Yes,No,"Dark Chocolate, Milk Chocolate, White Chocolate",1 or 2 times,1 or 2 times,Chappell Roan,Shaboozey,YouTube,none,"Minecraft, Roblox, Fortnite",none,none,hi
5/23/2025 10:01,9:52 AM,11 years and 8 months,Yes,Yes,Yes,Yes,Dark Chocolate,More than 10 times,More than 10 times,"Gracie Abrams, SZA",Taylor Swift,YouTube,none,none,none,none,"okay, yipyyyyyyy, stoup"
5/23/2025 10:03,9:52 AM,11 years and 7 months,Yes,No,Yes,Yes,Milk Chocolate,5-10 times,More than 10 times,SZA,SZA,Snapchat,TikTok,Fortnite,Spider-Man,Yoda,"what's good, preppa, bro"
